Scenario,User,st_a_ave,st_ag,st_angle_ave,st_cl,st_d_f_ave,st_d_lf_ave,st_d_rf_ave,st_ls_a,st_ls_l,st_ls_r,st_nc,st_os,st_t_stamp,st_tc,st_v_ave
0.0,0.0,1.42025058798,0,0.0108235140262,2,185.798760521,182.522047987,200.0,0,0,0,0,0,30.0542,0,7.5040727615
1.0,0.0,1.81459702492,1,0.0116764564542,2,82.6452131798,89.7026474897,163.939692,0,0,0,0,1,30.0055,0,17.3012331033
0.0,1.0,1.06469437184,0,0.0103985,0,94.9188121319,161.536400137,105.977955456,0,0,0,0,0,30.0047,0,12.9810229228
1.0,1.0,1.85625275989,0,0.0127500566483,0,33.4059878573,59.8154867685,134.531982582,0,0,0,0,0,30.0196,0,17.9300670508
0.0,2.0,1.19668049792,1,0.0276312987765,2,65.1084582312,74.1501609854,88.8445392391,1,0,1,0,0,30.0389,0,17.0006055931
1.0,2.0,1.67629472798,1,0.0126125005359,1,28.1939440325,77.1289163523,54.1082477958,1,1,0,0,0,30.0031,0,13.7601963821
0.0,3.0,1.0432820296,1,0.0169719270426,1,76.1280986082,132.654801218,76.9763024718,1,1,0,1,0,30.0368,0,12.7554374348
1.0,3.0,1.80612761849,0,0.0256410713771,1,39.7298835012,121.214817825,56.6345187391,0,0,0,0,0,30.0202,0,17.0178194095
0.0,4.0,1.00815106039,1,0.0,1,126.306504255,128.26252178,140.102393807,1,1,0,0,0,30.0164,0,14.0873784703
1.0,4.0,1.63442752871,0,0.0117976042236,2,27.3834283493,49.5663056915,154.991763391,0,0,0,0,0,30.0186,0,13.4823834391
0.0,5.0,1.3635338067,0,0.0254924694657,2,94.5515943235,182.273371261,144.2228777,0,0,0,0,0,30.0026,0,14.7156614273
1.0,5.0,2.36298911707,1,0.0119624737813,1,63.8303478322,176.883127923,83.2562642601,1,1,0,0,0,30.0007,0,16.114181688
0.0,6.0,1.12593060674,0,0.016979370569,2,94.5467378548,89.873308459,137.846508287,0,0,0,0,0,30.0354,0,13.8273596862
1.0,6.0,1.84884581142,0,0.0285520615029,2,56.3342578356,76.2167916756,100.398154095,0,0,0,0,0,30.0024,0,13.2958868487
0.0,7.0,1.35631871512,0,0.0,0,31.6398502371,137.428153491,31.6002913904,0,0,0,0,0,30.0204,0,14.2421747061
1.0,7.0,2.23727966199,0,0.0282325140341,2,51.9333990672,57.2165606145,90.1948162243,0,0,0,0,0,30.0492,0,14.8069257647
0.0,8.0,1.23118848323,0,0.012456749247,2,130.688975601,103.844257869,157.800870516,0,0,0,0,0,30.0054,0,16.8271472684
1.0,8.0,1.63401183244,0,0.014887050518,2,52.6563379671,70.8201721675,81.2187988104,0,0,0,0,0,30.016,0,13.6121801377
0.0,9.0,1.90369254894,0,0.0103980482519,0,33.2576410309,113.018873272,76.8131802676,0,0,0,0,0,30.0201,0,12.0193524961
1.0,9.0,2.03531077898,0,0.0125126670184,2,64.2495164779,57.2446794045,172.437777035,0,0,0,1,0,30.0018,0,18.3669436188
0.0,10.0,1.11620023536,0,0.0133851026125,0,98.8756133275,190.851324449,92.516468437,0,0,0,0,0,30.0382,0,13.5952169391
1.0,10.0,2.3402497607,1,0.0179636971207,2,43.7655946608,69.2176264134,106.483846259,0,0,0,1,0,30.0192,1,17.3368746849
0.0,11.0,1.48983058804,0,0.0135667374865,2,59.8847394759,71.198874279,116.936825526,0,0,0,0,0,30.0074,0,13.9263893515
1.0,11.0,1.49821325213,1,0.0120627008854,0,39.7270981675,122.256489845,30.6495767361,1,1,1,0,0,30.1242,0,14.6883316884
0.0,12.0,1.00401354158,0,0.0,1,115.466582887,106.134841178,96.4174892342,0,0,0,0,0,30.1253,0,16.0726058219
1.0,12.0,2.1566549823,0,0.0,2,43.227776825,40.5079788326,112.777190768,0,0,0,0,0,30.0088,0,13.2091041658
0.0,13.0,0.927468436511,1,0.0,1,86.7950163244,105.044293712,126.118333018,1,1,0,0,0,30.0595,0,11.9427512563
1.0,13.0,1.99695530308,1,0.0,2,62.6707799572,56.9695369183,185.652986755,1,0,1,0,0,30.0889,1,18.7811453515
0.0,14.0,2.27268483827,0,0.0147492733966,1,110.623526363,128.920141096,79.0941377159,0,0,0,0,0,30.0609,0,13.551675278
1.0,14.0,1.27115671157,1,0.0,2,57.8961655587,75.8626583867,115.670818486,1,0,1,0,0,30.1077,0,15.7511107051
0.0,15.0,1.02873233686,1,0.0109711114077,1,66.2228917708,122.130700687,60.5208396804,1,1,0,0,0,30.1096,0,14.0811574414
1.0,15.0,0.750561035128,0,0.0,1,120.220504348,165.28095016,89.4912796295,0,0,0,0,0,30.0396,0,12.1026310162
0.0,16.0,1.44649520566,1,0.0174018363543,1,50.3976560944,40.1235859361,92.3978378304,1,1,0,0,0,30.0412,0,15.6813255286
1.0,16.0,2.44247944,1,0.0231626796379,1,76.8256468173,130.009114792,102.059906502,1,1,1,0,1,30.1083,0,14.1514831168
0.0,17.0,1.72975758651,0,0.015862201513,1,72.0076966153,97.2866230613,57.2983896644,0,0,0,0,0,30.0737,0,16.9797764819
1.0,17.0,2.34381629275,1,0.0255194228181,1,37.1283602988,79.6199617641,52.1288732621,1,1,0,0,0,30.0407,0,14.1086100487
0.0,18.0,1.22950583584,0,0.0108616293607,1,73.4825573513,94.2469418896,104.782528145,0,0,0,0,0,30.1077,0,13.1144835534
1.0,18.0,1.4992241896,0,0.010469104584,1,64.264695638,105.069979435,60.2402310515,0,0,0,0,0,30.1191,0,14.9895258655
0.0,19.0,0.772895033802,0,0.0115157757813,2,83.7322327715,65.8563259296,130.471183248,0,0,0,0,0,30.0386,0,14.4217896408
1.0,19.0,0.937416086697,0,0.0,2,164.350818216,179.367863364,182.166944122,0,0,0,0,0,30.1089,0,9.24002703654
0.0,20.0,0.919097158613,1,0.0,0,135.927877282,151.431380429,126.113932363,0,0,0,0,0,30.0448,1,8.70745912458
1.0,20.0,1.3659917257,1,0.0,2,60.5675477332,98.0060924654,169.392457117,1,0,1,0,0,30.0271,0,18.1169466738
0.0,21.0,1.34683083767,0,0.0,2,24.8583581359,43.1536313298,131.756652746,0,0,0,0,0,30.0624,0,15.5809153766
1.0,21.0,1.41682946152,0,0.0,2,81.5403123676,85.7408487841,187.311820729,0,0,0,0,0,30.084,0,18.6513074533
0.0,22.0,1.491936753,1,0.0,1,71.9342494239,66.3986898197,74.5353970335,1,1,0,1,0,30.1139,0,15.2171883402
1.0,22.0,1.06905262512,0,0.0120046271974,1,157.23169776,174.062478136,128.835372515,0,0,0,0,0,30.0946,0,13.9661791655
0.0,23.0,1.50565622383,0,0.0,2,110.19200042,106.040747718,123.556760931,0,0,0,0,0,30.1103,0,16.9647879714
1.0,23.0,1.2955116072,1,0.0,1,152.445284387,148.791731425,184.715479113,0,0,0,0,1,30.1157,0,15.6800994358
0.0,24.0,1.30061321452,0,0.0135493634668,2,92.0958177013,69.6233947674,145.026908477,0,0,0,0,0,30.0257,0,12.1802743517
1.0,24.0,1.06249009363,0,0.0147272783376,2,85.6026761738,56.2752497763,194.484601813,0,0,0,0,0,30.0605,0,16.6541689165
0.0,25.0,1.86863062308,0,0.0106723056796,2,50.7316484638,65.4249866368,58.0274102174,0,0,0,0,0,30.0417,0,15.4835951314
1.0,25.0,2.15508948125,0,0.0184009233012,2,47.5820739316,113.482327025,69.6620949227,0,0,0,0,0,30.0279,0,15.9591427331
0.0,26.0,1.38682039808,0,0.0,1,74.4466174055,99.4579438217,55.5726430863,0,0,0,0,0,30.0649,0,13.4500359795
1.0,26.0,1.24070120771,0,0.0,2,101.351215384,69.8667170071,130.71368968,0,0,0,0,0,30.0306,0,15.4147370043
0.0,27.0,1.15080584089,0,0.0,2,98.7753758841,55.7059575267,176.625439745,0,0,0,0,0,30.0911,0,15.0655141549
1.0,27.0,1.66116023937,0,0.0276690166836,2,70.9182342047,123.24694677,52.9810556406,0,0,0,0,0,30.0766,0,14.2940800643
