User,Scenario,Velocity,Dist to Front,Dist to Back,Dist to Left-Front,Dist to Left-Back,Dist to Right-Front,Dist to Right-Back
0,0,14.2753943234,94.5801776968,150.391238501,77.4709248773,73.1676231569,177.953323055,184.765387248
0,1,18.7972841825,97.4019078696,149.336139924,91.3510955243,87.1500458513,158.794215862,161.615692029
1,0,15.5964108643,132.669696484,134.568255858,114.183953492,120.222769504,138.576847026,157.030107446
1,1,19.0724141005,85.8092843825,102.578357433,95.3829054385,90.3698515095,160.262615038,163.432370421
2,0,19.5024390311,120.770296473,121.769170058,91.9775399664,99.3730617734,145.114978889,144.037508428
2,1,20.4487842976,110.858077765,85.9967235956,92.8619901514,94.7337802036,159.382466657,161.402593458
3,0,18.2119027177,90.6245242757,98.3557509729,66.8446661468,88.7107919549,155.415383549,162.977499102
3,1,19.412907086,111.437099173,101.806982404,94.3560456287,100.83696422,130.862879877,142.270780595
4,0,15.0325525806,87.7013353168,106.755209012,58.6583026139,49.4939700533,172.15652244,187.625499296
4,1,19.7893916734,79.4408728777,124.709559248,100.657112345,98.9476973963,147.459048127,140.615513146
5,0,17.0116392947,75.3449071974,136.0456716,122.48527465,123.279450953,124.28922659,132.792941371
5,1,14.3998803411,60.6969005781,125.204544601,108.870384428,123.306923992,106.378218137,130.65301283
6,0,17.1425649035,57.1329637399,123.683749863,69.4400153809,80.8580756468,133.487718856,140.390384351
6,1,18.6496274837,109.91217704,100.840591432,85.937085681,91.1163168679,154.179464113,162.084727095
7,0,14.0730354912,67.1843044254,104.645540663,81.3929014149,91.113715531,125.910011167,140.643846724
7,1,15.7241441652,52.3314689001,130.310946787,104.131232716,110.548810185,115.407845917,123.618181659
8,0,17.9713581634,70.6647992849,115.414730759,46.1871399155,57.2296683942,184.864735243,187.966901684
8,1,12.9884517664,43.8940752396,104.731572608,131.215974312,145.837513875,65.6618072743,69.8856025264
9,0,12.7033032144,48.288073854,118.351132926,99.1408825592,127.05188511,88.2604115168,112.190274082
9,1,23.3619401593,127.887659971,137.101837299,164.271559282,164.332946937,112.828117831,110.658922644
10,0,15.5703500836,65.8942614267,116.41386827,125.689194734,131.584314924,90.4989633646,109.045433083
10,1,19.6704016922,70.5228378066,82.4223940574,92.9524733949,116.765796274,107.653801919,124.731107633
11,0,19.8409735297,41.9738191946,127.048209582,67.4406341927,71.8702232912,153.795683831,172.485830323
